date,location,subject_statuses,subject_weapon,subject_race,subject_gender,latitude,longitude,month,season,officer_count_cat,street
2012-12-14,4542 W. Kiest Boulevard,Deceased,Handgun,Black,M,32.70561,-96.896632,12,winter,alone, W. Kiest Boulevard
2009-09-26,2000 Edd Road,Deceased,other,White,M,32.67861,-96.60936,9,autumn,alone, Edd Road
2012-05-29,18220 Dallas Parkway,Shoot and Miss,Vehicle,White,M,32.99856,-96.829037,5,spring,2 to 3, Dallas Parkway
2014-04-21,3314 W. Camp Wisdom Road,Deceased,Handgun,White,M,32.66254,-96.875551,4,spring,2 to 3, W. Camp Wisdom Road
2008-12-07,4791 W. Ledbetter Drive,Shoot and Miss,Vehicle,Black,M,32.6912,-96.902925,12,winter,alone, W. Ledbetter Drive
2007-01-27,2600 Grand Avenue,Shoot and Miss,Unarmed,Black,M,32.7697,-96.773881,1,winter,alone, Grand Avenue
2003-06-01,4220 Independence Drive,Deceased,Handgun,Black,M,32.66099,-96.889139,6,summer,2 to 3, Independence Drive
2012-05-29,7100 Valley View Lane,Injured,Vehicle,Black,F,32.9275,-96.782904,5,spring,alone, Valley View Lane
2004-10-06,2287 W. Northwest Highway,Deceased,Handgun,White,M,32.86167,-96.891379,10,autumn,alone, W. Northwest Highway
2007-02-12,"3847 Timberglen Road, #3116",Deceased,Handgun,Black,M,33.0048,-96.84757,2,winter,alone," Timberglen Road, #"
2014-06-14,8124 Forest Lane,Shoot and Miss,Vehicle,Black,M,32.90915,-96.763977,6,summer,2 to 3, Forest Lane
2008-07-09,1613 Monte Carlo Street,Deceased,Handgun,Latin,M,32.7064,-96.84641,7,summer,2 to 3, Monte Carlo Street
2014-08-20,7921 L.B.J. Freeway,Injured,Handgun,White,M,32.92484,-96.770077,8,summer,2 to 3, L.B.J. Freeway
2013-09-26,10316 Sandra Lynn Drive,Deceased,Handgun,White,M,32.83809,-96.656448,9,autumn,2 to 3, Sandra Lynn Drive
2007-09-27,4800 Monarch Street,Injured,Handgun,Black,M,32.80756,-96.779622,9,autumn,alone, Monarch Street
